locus_tag	ftype	length_bp	gene	EC_number	COG	product
JS511-S1-PL_00035	CDS	633				hypothetical protein
JS511-S1-PL_00036	gene	387				
JS511-S1-PL_00036	CDS	387				hypothetical protein
JS511-S1-PL_00037	gene	2631	traC			
JS511-S1-PL_00037	CDS	2631	traC			Protein TraC
JS511-S1-PL_00038	gene	363				
JS511-S1-PL_00038	CDS	363				hypothetical protein
JS511-S1-PL_00039	gene	477				
JS511-S1-PL_00039	CDS	477				hypothetical protein
JS511-S1-PL_00040	gene	516	traV			
JS511-S1-PL_00040	CDS	516	traV			Protein TraV
JS511-S1-PL_00041	gene	252				
JS511-S1-PL_00041	CDS	252				hypothetical protein
JS511-S1-PL_00042	gene	321				
JS511-S1-PL_00042	CDS	321				hypothetical protein
JS511-S1-PL_00043	gene	591				
JS511-S1-PL_00043	CDS	591				hypothetical protein
JS511-S1-PL_00044	gene	1428				
JS511-S1-PL_00044	CDS	1428				hypothetical protein
JS511-S1-PL_00045	gene	729				
JS511-S1-PL_00045	CDS	729				hypothetical protein
JS511-S1-PL_00046	gene	567				
JS511-S1-PL_00046	CDS	567				hypothetical protein
JS511-S1-PL_00047	gene	312				
JS511-S1-PL_00047	CDS	312				hypothetical protein
JS511-S1-PL_00048	gene	360	traA			
JS511-S1-PL_00048	CDS	360	traA			Pilin
JS511-S1-PL_00049	gene	234				
JS511-S1-PL_00049	CDS	234				hypothetical protein
JS511-S1-PL_00050	gene	687	traJ			
JS511-S1-PL_00050	CDS	687	traJ			Protein TraJ
JS511-S1-PL_00051	gene	384	traM			
JS511-S1-PL_00051	CDS	384	traM			Relaxosome protein TraM
JS511-S1-PL_00052	gene	648				
JS511-S1-PL_00052	CDS	648				hypothetical protein
JS511-S1-PL_00053	gene	822				
JS511-S1-PL_00053	CDS	822				hypothetical protein
JS511-S1-PL_00054	gene	288				
JS511-S1-PL_00054	CDS	288				hypothetical protein
JS511-S1-PL_00055	gene	684				
JS511-S1-PL_00055	CDS	684				hypothetical protein
JS511-S1-PL_00056	gene	267				
JS511-S1-PL_00056	CDS	267				hypothetical protein
JS511-S1-PL_00057	gene	498				
JS511-S1-PL_00057	CDS	498				hypothetical protein
